"ID","time","GUT","CENT","WT","CP","CP_RUV","x","y","PRED","vachette.cov1","dosenr"
2,122.8,-1.1952924526861e-09,3.17541800723986,70,0.0907262287782817,0.0907262287782817,122.8,0.0907262287782817,0.0907262287782817,70,1
2,122.9,-1.23485051889006e-09,3.16635833328506,70,0.0904673809510018,0.0904673809510018,122.9,0.0904673809510018,0.0904673809510018,70,1
2,123,-1.27276762536656e-09,3.15732450723291,70,0.0902092716352261,0.0902092716352261,123,0.0902092716352261,0.0902092716352261,70,1
2,123.1,-1.30883507706614e-09,3.14831645533632,70,0.0899518987238948,0.0899518987238948,123.1,0.0899518987238948,0.0899518987238948,70,1
2,123.2,-1.34283669128206e-09,3.13933410405751,70,0.0896952601159287,0.0896952601159287,123.2,0.0896952601159287,0.0896952601159287,70,1
2,123.3,-1.37454873230663e-09,3.13037738006731,70,0.0894393537162087,0.0894393537162087,123.3,0.0894393537162087,0.0894393537162087,70,1
2,123.4,-1.40373984608743e-09,3.12144621024449,70,0.0891841774355569,0.0891841774355569,123.4,0.0891841774355569,0.0891841774355569,70,1
2,123.5,-1.43017099488367e-09,3.11254052167507,70,0.0889297291907163,0.0889297291907163,123.5,0.0889297291907163,0.0889297291907163,70,1
2,123.6,-1.45359539192244e-09,3.10366024165162,70,0.0886760069043319,0.0886760069043319,123.6,0.0886760069043319,0.0886760069043319,70,1
2,123.7,-1.47375843605499e-09,3.09480529767259,70,0.0884230085049311,0.0884230085049311,123.7,0.0884230085049311,0.0884230085049311,70,1
2,123.8,-1.49039764641304e-09,3.08597561744161,70,0.0881707319269033,0.0881707319269033,123.8,0.0881707319269033,0.0881707319269033,70,1
2,123.9,-1.50324259706504e-09,3.07717112886685,70,0.0879191751104814,0.0879191751104814,123.9,0.0879191751104814,0.0879191751104814,70,1
2,124,-1.51201485167249e-09,3.06839176006026,70,0.0876683360017217,0.0876683360017217,124,0.0876683360017217,0.0876683360017217,70,1
2,124.1,-1.51642789814618e-09,3.05963743933694,70,0.0874182125524841,0.0874182125524841,124.1,0.0874182125524841,0.0874182125524841,70,1
2,124.2,-1.51618708330254e-09,3.05090809521446,70,0.0871688027204131,0.0871688027204131,124.2,0.0871688027204131,0.0871688027204131,70,1
2,124.3,-1.51098954751985e-09,3.04220365641212,70,0.0869201044689177,0.0869201044689177,124.3,0.0869201044689177,0.0869201044689177,70,1
2,124.4,-1.5005241593946e-09,3.03352405185033,70,0.0866721157671522,0.0866721157671522,124.4,0.0866721157671522,0.0866721157671522,70,1
2,124.5,-1.48447145039773e-09,3.02486921064987,70,0.0864248345899964,0.0864248345899964,124.5,0.0864248345899964,0.0864248345899964,70,1
2,124.6,-1.46250354953092e-09,3.01623906213126,70,0.086178258918036,0.086178258918036,124.6,0.086178258918036,0.086178258918036,70,1
2,124.7,-1.43428411798291e-09,3.00763353581402,70,0.0859323867375433,0.0859323867375433,124.7,0.0859323867375433,0.0859323867375433,70,1
2,124.8,-1.39987115591602e-09,2.99905256145377,70,0.0856872160415362,0.0856872160415362,124.8,0.0856872160415362,0.0856872160415362,70,1
2,124.9,-1.3610963782652e-09,2.99049606917083,70,0.0854427448334524,0.0854427448334524,124.9,0.0854427448334524,0.0854427448334524,70,1
