"ID","time","EVID","PRED","DOSE"
1000001,0,1,10,1e+06
1000001,1,0,8.18731157604567,1e+06
1000001,2,0,6.70320876971126,1e+06
1000001,3,0,5.488129216325,1e+06
1000001,4,0,4.49330748207383,1e+06
1000001,5,0,3.67881797765518,1e+06
1000001,6,0,3.01197235623674,1e+06
1000001,7,0,2.46600775573187,1e+06
1000001,8,0,2.01901270524596,1e+06
1000001,9,0,1.65304772779135,1e+06
1000001,10,0,1.35342536308161,1e+06
1000001,11,0,1.10812071404593,1e+06
1000001,12,0,0.907288854036202,1e+06
1000001,13,0,0.742869675448116,1e+06
1000001,14,0,0.608264462373433,1e+06
1000001,15,0,0.498071037407791,1e+06
1000001,16,0,0.407866951863104,1e+06
1000001,17,0,0.334031997427471,1e+06
1000001,18,0,0.273602918589049,1e+06
1000001,19,0,0.224154482792133,1e+06
1000001,20,0,0.183702150221604,1e+06
1000001,21,0,0.150622424809722,1e+06
1000001,22,0,0.123587698870392,1e+06
1000001,23,0,0.101512970310351,1e+06
1000001,24,0,0.0835122974833596,1e+06
1000001,25,0,0.0688632423354891,1e+06
1000001,26,0,0.0569778749747689,1e+06
1000001,27,0,0.0473791763777615,1e+06
1000001,28,0,0.0396818907228955,1e+06
1000001,29,0,0.0335770598355887,1e+06
1000001,30,0,0.0288196169547171,1e+06
1000001,31,0,0.025218542147598,1e+06
1000001,32,0,0.0226291817484285,1e+06
1000001,33,0,0.0209474220302071,1e+06
1000001,34,0,0.020105479438742,1e+06
1000001,35,0,0.0200691336580204,1e+06
1000001,36,0,0.0208362849472437,1e+06
1000001,37,0,0.0224367666846324,1e+06
1000001,38,0,0.0249333893775942,1e+06
1000001,39,0,0.0284242334297688,1e+06
1000001,40,0,0.0330462470227648,1e+06
1000001,41,0,0.0389802400918443,1e+06
1000001,42,0,0.0464573968965611,1e+06
1000001,43,0,0.0557674535402449,1e+06
1000001,44,0,0.067268700786173,1e+06
1000001,45,0,0.081399968904647,1e+06
1000001,46,0,0.0986947211406161,1e+06
1000001,47,0,0.119797311259726,1e+06
1000001,48,0,0.14548133013673,1e+06
1000001,49,0,0.176669748571799,1e+06
1000001,50,0,0.214456232650106,1e+06
1000001,51,0,0.260126516997719,1e+06
1000001,52,0,0.315178052644828,1e+06
1000001,53,0,0.381335251251727,1e+06
1000001,54,0,0.460556563273831,1e+06
1000001,55,0,0.555028389854671,1e+06
1000001,56,0,0.667139630782067,1e+06
1000001,57,0,0.799429810807561,1e+06
1000001,58,0,0.954503689162476,1e+06
1000001,59,0,1.13490668300857,1e+06
1000001,60,0,1.34295901768604,1e+06
1000001,61,0,1.58055261654849,1e+06
1000001,62,0,1.84892342319891,1e+06
1000001,63,0,2.14842158396544,1e+06
1000001,64,0,2.47831080238488,1e+06
1000001,65,0,2.83663249069188,1e+06
1000001,66,0,3.22016743806767,1e+06
1000001,67,0,3.62451599665194,1e+06
1000001,68,0,4.04429871397044,1e+06
